,School Name,Full Address,Street Address,City,State,Zip Code,Country,School Type,Website,Description
459,E. E. Rogers SDA Early Childhood Program,"5125B Robinson Rd, Jackson, MS, 39204-4133, USA",5125B Robinson Rd,Jackson,MS,39204-4133,USA,ECP,https://www.adventisteducation.org/schools/ANTP2K,[]
460,E. E. Rogers SDA School,"5125-B Robinson Road, Jackson, MS, 39204, USA",5125-B Robinson Road,Jackson,MS,39204,USA,PK-08,https://www.adventisteducation.org/schools/ANTP30,[]
461,Faith Adventist Christian School,"1005 Gordon Covington Rd, Summit, MS, 39666-7095, USA",1005 Gordon Covington Rd,Summit,MS,39666-7095,USA,PK-08,https://www.adventisteducation.org/schools/ANTGFC,"Faith Adventist Christian School offers small class size, multi-grade classrooms, and a diverse educational experience utilizing indoor and outdoor education locations.  FACtS is dedicated to encouraging a personal relationship with God and academic excellence."
462,College Park Christian Academy,"1114 College Park Dr, Columbia, MO, 65203-1826, USA",1114 College Park Dr,Columbia,MO,65203-1826,USA,PK-10,https://www.adventisteducation.org/schools/ANGB30,"College Park Christian Academy exists to prepare each of its children for academic excellence, physical we'll-being, spiritual maturity, and ultimately a saving relationship with Jesus Christ and a place in His service."
463,College Park Christian Preschool,"1108 College Park Dr, Columbia, MO, 65203-1826, USA",1108 College Park Dr,Columbia,MO,65203-1826,USA,ECP,https://www.adventisteducation.org/schools/ANGB29,[]
464,Hillcrest Seventh-day Adventist School,"9777 Grandview Dr, Olivette, MO, 63132-2006, USA",9777 Grandview Dr,Olivette,MO,63132-2006,USA,PK-10,https://www.adventisteducation.org/schools/ANGB84,Hillcrest Seventh-day Adventist Christian School is dedicated to igniting and sustaining a love for God and an excitement for learning.
465,Maranatha Adventist School,"1400 E McKinsey St, Moberly, MO, 65270-2039, USA",1400 E McKinsey St,Moberly,MO,65270-2039,USA,PK-08,https://www.adventisteducation.org/schools/ANGB54,[]
466,Prescott SDA School,"1405 Weisenborn Rd, Saint Joseph, MO, 64507-2524, USA",1405 Weisenborn Rd,Saint Joseph,MO,64507-2524,USA,PK-08,https://www.adventisteducation.org/schools/ANGB81,[]
467,Sedalia SDA School,"29531 Highway 50, Sedalia, MO, 65301-1222, USA",29531 Highway 50,Sedalia,MO,65301-1222,USA,PK-08,https://www.adventisteducation.org/schools/ANGB72,[]
468,Springfield Seventh-day Adventist Jr Aca,"704 S Belview Ave, Springfield, MO, 65802-2818, USA",704 S Belview Ave,Springfield,MO,65802-2818,USA,PK-08,https://www.adventisteducation.org/schools/ANGB78,[]
469,Summit View Adventist School,"12503 State Route 7, Lees Summit, MO, 64086-9207, USA",12503 State Route 7,Lees Summit,MO,64086-9207,USA,PK-08,https://www.adventisteducation.org/schools/ANGBSZ,[]
470,Sunnydale Adventist Academy,"6818 Audrain Road 9139, Centralia, MO, 65240-5906, USA",6818 Audrain Road 9139,Centralia,MO,65240-5906,USA,9-12,https://www.adventisteducation.org/schools/ANGBSU,"Sunnydale Adventist Academy seeks to provide a Christian environment where students may grow spiritually, intellectually, socially, and physically. Through Christ-centered teaching, students are encouraged to serve God."
471,Sunnydale SDA Elementary School,"6979 Audrain Road 9139, Centralia, MO, 65240-5909, USA",6979 Audrain Road 9139,Centralia,MO,65240-5909,USA,PK-08,https://www.adventisteducation.org/schools/ANGB87,[]
472,Blodgett View Christian School,"119 Westbridge Rd, Hamilton, MT, 59840-9512, USA",119 Westbridge Rd,Hamilton,MT,59840-9512,USA,PK-08,https://www.adventisteducation.org/schools/ANIB35,[]
473,Five Falls Christian School,"2930 Flood Rd, Great Falls, MT, 59404-3720, USA",2930 Flood Rd,Great Falls,MT,59404-3720,USA,PK-08,https://www.adventisteducation.org/schools/ANIB65,"Five Falls Christian School, s Seventh-day Adventist Christian School where we are dedicated to nurturing each child’s growth as a whole person: academically, physically, spiritually, and socially.  K-8"
474,Glacier View School,"36332 Mud Creek Ln, Ronan, MT, 59864-9291, USA",36332 Mud Creek Ln,Ronan,MT,59864-9291,USA,PK-08,https://www.adventisteducation.org/schools/ANIB30,Glacier View School seeks to integrate Christ throughout the curriculum.
475,Highland View Christian School,"2504 Grand Ave, Butte, MT, 59701-5008, USA",2504 Grand Ave,Butte,MT,59701-5008,USA,PK-08,https://www.adventisteducation.org/schools/ANIBHV,"Highland View Christian School is committed to providing a quality education, a spiritually rich environment and a lifelong love of learning."
476,Libby Adventist Christian School,"206 Airfield Rd, Libby, MT, 59923-8600, USA",206 Airfield Rd,Libby,MT,59923-8600,USA,PK-08,https://www.adventisteducation.org/schools/ANIB45,[]
477,Mount Ellis Academy,"3641 Bozeman Trail Rd, Bozeman, MT, 59715-6683, USA",3641 Bozeman Trail Rd,Bozeman,MT,59715-6683,USA,9-12,https://www.adventisteducation.org/schools/ANIB2M,"At Mount Ellis Academy, our students discover, develop, and serve. We learn, laugh, play, collaborate, pray, spend time in nature, and form unbreakable bonds."
478,Mount Ellis Elementary,"3835 Bozeman Trail Rd, Bozeman, MT, 59715-6685, USA",3835 Bozeman Trail Rd,Bozeman,MT,59715-6685,USA,PK-08,https://www.adventisteducation.org/schools/ANIB55,"Mount Ellis Elementary, a Seventh-Day Adventist Christian School, is dedicated to educating the full person, mind, body, and spirit."
479,Mountain View Christian School,"1010 Clements Rd, Missoula, MT, 59804-2912, USA",1010 Clements Rd,Missoula,MT,59804-2912,USA,PK-08,https://www.adventisteducation.org/schools/ANIB50,Mountain View Christian School is dedicated to loving kids well and educating for eternity.
480,Teton Adventist Christian School,"701 1st St NE, Choteau, MT, 59422-9291, USA",701 1st St NE,Choteau,MT,59422-9291,USA,PK-08,https://www.adventisteducation.org/schools/ANIB25,Teton Adventist Christian School exists to educate each student to their highest level of academic achievement in a Christ-centered atmosphere. Our goal is to develop lifelong learners who will grow to love Jesus and be a blessing to their communities.
481,Trailhead Christian School,"3204 Broadwater Ave, Billings, MT, 59102-4416, USA",3204 Broadwater Ave,Billings,MT,59102-4416,USA,PK-08,https://www.adventisteducation.org/schools/ANIB20,"Trailhead Christian School is a private elementary school serving the community of Billings, Montana."
482,Trout Creek Adventist School,"3020 Mt Highway 200, Trout Creek, MT, 59874-9596, USA",3020 Mt Highway 200,Trout Creek,MT,59874-9596,USA,PK-08,https://www.adventisteducation.org/schools/ANIBTC,"It is our purpose to provide a Christ-centered academic environment where students are nourished spiritually, intellectually, socially, physically, and emotionally."
483,Valley Adventist Christian School,"1275 Helena Flats Rd, Kalispell, MT, 59901-6625, USA",1275 Helena Flats Rd,Kalispell,MT,59901-6625,USA,PK-08,https://www.adventisteducation.org/schools/ANIB75,"Valley Adventist Christian School is a Seventh-day Adventist school dedicated to academic excellence, showing children Jesus, and nurturing their love for Him and others."
484,Valley View Christian School,"264 Highway 200 S, Glendive, MT, 59330-9433, USA",264 Highway 200 S,Glendive,MT,59330-9433,USA,PK-08,https://www.adventisteducation.org/schools/ANIBVA,The mission of Valley View Adventist Christian School is to provide a strong basic academic foundation and encourage healthy relationships with both God and man.
485,College View Academy,"5240 Calvert St, Lincoln, NE, 68506-3935, USA",5240 Calvert St,Lincoln,NE,68506-3935,USA,PK-12,https://www.adventisteducation.org/schools/ANGF1C,"College View Academy is a K-12 Seventh-day Adventist school located in Lincoln, Nebraska. We are a private Christian school focused on learning and love."
486,George Stone School (Union College),"3800 S 48th St, Lincoln, NE, 68506-4345, USA",3800 S 48th St,Lincoln,NE,68506-4345,USA,PK-08,https://www.adventisteducation.org/schools/ANGFGE,George Stone School is a two-teacher elementary school focused on teacher training where students experience plenty of personalized attention from Union College teachers-in-training.
487,Omaha Memorial Adventist School,"840 N 72nd St, Omaha, NE, 68114-3241, USA",840 N 72nd St,Omaha,NE,68114-3241,USA,PK-08,https://www.adventisteducation.org/schools/ANGF64,Omaha Memorial Adventist School  is dedicated to helping students develop academic excellence in a Christian environment.
488,Union College,"3800 S 48th St Bldg A, Lincoln, NE, 68506-4300, USA",3800 S 48th St Bldg A,Lincoln,NE,68506-4300,USA,University,https://www.adventisteducation.org/schools/ANG13L,[]
489,Valley View Adventist School,"415 W 31st St, Scottsbluff, NE, 69361-4319, USA",415 W 31st St,Scottsbluff,NE,69361-4319,USA,PK-08,https://www.adventisteducation.org/schools/ANGF92,[]
490,Fallon Adventist Christian School,"380 E Front St, Fallon, NV, 89406-3954, USA",380 E Front St,Fallon,NV,89406-3954,USA,K-08,https://www.adventisteducation.org/schools/ANPF25,[]
491,Riverview Christian Academy,"7125 W 4th St, Reno, NV, 89523-9008, USA",7125 W 4th St,Reno,NV,89523-9008,USA,K-08,https://www.adventisteducation.org/schools/ANPF50,"Riverview Christian Academy exists to show children Jesus, nurture their love for others, teach them to think, and empower them to serve."
492,Vegas Valley Adventist Academy,"6059 W Oakey Blvd, Las Vegas, NV, 89146-1252, USA",6059 W Oakey Blvd,Las Vegas,NV,89146-1252,USA,K-10,https://www.adventisteducation.org/schools/ANPF30,VVAA's mission is to honor God by striving  for academic excellence and  character development;  and to grow positive relationships with our community and each other.
493,Amesbury Adventist School,"285 Main Ave, South Hampton, NH, 03827-3527, USA",285 Main Ave,South Hampton,NH,03827-3527,USA,PK-08,https://www.adventisteducation.org/schools/AN4M15,[]
494,Capital Christian School,"310 Sheep Davis Rd, Concord, NH, 03301-5736, USA",310 Sheep Davis Rd,Concord,NH,03301-5736,USA,PK-08,https://www.adventisteducation.org/schools/AN4ICC,[]
495,Estabrook Christian School,"1050 Route 12A, Plainfield, NH, 03781, USA",1050 Route 12A,Plainfield,NH,03781,USA,PK-08,https://www.adventisteducation.org/schools/AN4I45,[]
496,Pioneer Junior Academy,"13 Mount Gilboa Rd, Westmoreland, NH, 03467-4705, USA",13 Mount Gilboa Rd,Westmoreland,NH,03467-4705,USA,PK-08,https://www.adventisteducation.org/schools/AN4I75,"Pioneer Junior Academy, a Christian school dedicated to nurturing each child in a personal relationship with God, while developing academic excellence, and inspiring service to others for now and for eternity."
497,Lake Nelson Adventist Academy,"555 S Randolphville Rd, Piscataway, NJ, 08854-5036, USA",555 S Randolphville Rd,Piscataway,NJ,08854-5036,USA,PK-12,https://www.adventisteducation.org/schools/ANBB30,[]
498,Lake Nelson Early Learning Center,"555 S Randolphville Rd, Piscataway, NJ, 08854-5036, USA",555 S Randolphville Rd,Piscataway,NJ,08854-5036,USA,ECP,https://www.adventisteducation.org/schools/ANBB2H,[]
499,Meadow View Junior Academy,"241 Bordentown Chesterfield Rd, Chesterfield, NJ, 08515-9657, USA",241 Bordentown Chesterfield Rd,Chesterfield,NJ,08515-9657,USA,PK-10,https://www.adventisteducation.org/schools/ANBB40,[]
500,Tranquility Adventist School,"3 Academy Ln, Andover, NJ, 07821-2402, USA",3 Academy Ln,Andover,NJ,07821-2402,USA,PK-08,https://www.adventisteducation.org/schools/ANBB2V,[]
501,Tranquility Preschool,"3 Academy Ln, Andover, NJ, 07821-2402, USA",3 Academy Ln,Andover,NJ,07821-2402,USA,ECP,https://www.adventisteducation.org/schools/ANBB2L,[]
502,Trinity Temple Academy,"1500 Maple Ave, Hillside, NJ, 07205-1526, USA",1500 Maple Ave,Hillside,NJ,07205-1526,USA,PK-08,https://www.adventisteducation.org/schools/ANB460,[]
503,Vine Haven Adventist School,"1155 E Landis Ave, Vineland, NJ, 08360-4220, USA",1155 E Landis Ave,Vineland,NJ,08360-4220,USA,PK-08,https://www.adventisteducation.org/schools/ANBBVR,[]
504,Waldwick Adventist School,"70 Wyckoff Ave, Waldwick, NJ, 07463-1769, USA",70 Wyckoff Ave,Waldwick,NJ,07463-1769,USA,PK-10,https://www.adventisteducation.org/schools/ANBB55,"Waldwick Adventist School is dedicated to nurture life-long learning in its students by promoting academic excellence in teaching students to serve God and man, now and for eternity."
505,Waldwick Preschool,"70 Wyckoff Ave, Waldwick, NJ, 07463-1769, USA",70 Wyckoff Ave,Waldwick,NJ,07463-1769,USA,ECP,https://www.adventisteducation.org/schools/ANBB2K,[]
506,Wilbert F. May Preschool,"405 Englewood Ave, Teaneck, NJ, 07666-6039, USA",405 Englewood Ave,Teaneck,NJ,07666-6039,USA,ECP,https://www.adventisteducation.org/schools/ANB42I,[]
507,Wilbert F. Mays Adventist School,"405 Englewood Ave, Teaneck, NJ, 07666-6039, USA",405 Englewood Ave,Teaneck,NJ,07666-6039,USA,PK-08,https://www.adventisteducation.org/schools/ANB4WI,[]
508,Canyon Christian Academy,"1000 S Canyon Rd, Alamogordo, NM, 88310-3614, USA",1000 S Canyon Rd,Alamogordo,NM,88310-3614,USA,PK-08,https://www.adventisteducation.org/schools/ANWI24,Canyon Christian Academy is committed to providing a Christ-centered education that nurtures the individuality of the student within a climate of academic excellence.
509,Canyon Christian Preschool,"1000 S Canyon Rd, Alamogordo, NM, 88310-3614, USA",1000 S Canyon Rd,Alamogordo,NM,88310-3614,USA,ECP,https://www.adventisteducation.org/schools/ANWI26,[]
510,Crestview SDA Academy,"6000 Ouray Rd NW, Albuquerque, NM, 87120-1382, USA",6000 Ouray Rd NW,Albuquerque,NM,87120-1382,USA,PK-08,https://www.adventisteducation.org/schools/ANWI1F,[]
511,Crestview SDA Preschool,"6000 Ouray Rd NW, Albuquerque, NM, 87120-1382, USA",6000 Ouray Rd NW,Albuquerque,NM,87120-1382,USA,ECP,https://www.adventisteducation.org/schools/ANWI2A,[]
512,Farmington Discover Christian School,"5509 Sagebrush St, Farmington, NM, 87402-4851, USA",5509 Sagebrush St,Farmington,NM,87402-4851,USA,PK-08,https://www.adventisteducation.org/schools/ANGM51,[]
513,Sandia View Academy,"65 Sandia View Ln, Corrales, NM, 87048-8718, USA",65 Sandia View Ln,Corrales,NM,87048-8718,USA,9-12,https://www.adventisteducation.org/schools/ANWISD,[]
514,Sandia View Christian Preschool,"24 Academy Dr, Corrales, NM, 87048-8730, USA",24 Academy Dr,Corrales,NM,87048-8730,USA,ECP,https://www.adventisteducation.org/schools/ANWI23,[]
515,Sandia View Christian School,"24 Academy Dr, Corrales, NM, 87048-8730, USA",24 Academy Dr,Corrales,NM,87048-8730,USA,PK-08,https://www.adventisteducation.org/schools/ANWISA,[]
516,Bethesda SDA Junior Academy,"76 Parkway Ave, Amityville, NY, 11701-1312, USA",76 Parkway Ave,Amityville,NY,11701-1312,USA,PK-08,https://www.adventisteducation.org/schools/AN4F25,NAA Long Island is committed to providing individual and quality education in a Christ-filled environment.
517,Bronx-Manhattan SDA School,"1440 Plimpton Ave, Bronx, NY, 10452-1711, USA",1440 Plimpton Ave,Bronx,NY,10452-1711,USA,PK-08,https://www.adventisteducation.org/schools/AN4815,[]
518,Brooklyn Seventh-day Adventist Preschool,"1260 Ocean Ave, Brooklyn, NY, 11230-7401, USA",1260 Ocean Ave,Brooklyn,NY,11230-7401,USA,ECP,https://www.adventisteducation.org/schools/AN4834,[]
519,Brooklyn Seventh-day Adventist School,"1260 Ocean Ave, Brooklyn, NY, 11230-7401, USA",1260 Ocean Ave,Brooklyn,NY,11230-7401,USA,PK-08,https://www.adventisteducation.org/schools/AN4820,[]
520,Buffalo Suburban Christian Academy,"5580 Genesee St, Lancaster, NY, 14086-9790, USA",5580 Genesee St,Lancaster,NY,14086-9790,USA,PK-08,https://www.adventisteducation.org/schools/AN4BBU,"Buffalo Suburban Christian Academy is a Seventh-Day Adventist Christian school. We are small, and intimate, and are dedicated to nurturing a relationship with God."
521,Flatbush SDA School,"5810 Snyder Ave, Brooklyn, NY, 11203-4816, USA",5810 Snyder Ave,Brooklyn,NY,11203-4816,USA,PK-08,https://www.adventisteducation.org/schools/AN4F50,NAA Brooklyn PK-8 is an elementary institution whose philosophy of Christian Education is rooted in the Scriptures and is predicated on the belief that each student is unique and of inestimable value.
522,Fox Den at PJA EPC,"412 S Avery Ave, Syracuse, NY, 13219-2617, USA",412 S Avery Ave,Syracuse,NY,13219-2617,USA,ECP,https://www.adventisteducation.org/schools/AN4B23,[]
523,Greater New York Academy,"4132 58th St, Woodside, NY, 11377-4749, USA",4132 58th St,Woodside,NY,11377-4749,USA,9-12,https://www.adventisteducation.org/schools/AN4821,[]
524,Hanson Place SDA School,"38 Lafayette Ave, Brooklyn, NY, 11217-1430, USA",38 Lafayette Ave,Brooklyn,NY,11217-1430,USA,PK-08,https://www.adventisteducation.org/schools/AN4F55,[]
525,Hanson Place SDA School ECP,"38 Lafayette Ave, Brooklyn, NY, 11217-1430, USA",38 Lafayette Ave,Brooklyn,NY,11217-1430,USA,ECP,https://www.adventisteducation.org/schools/AN4F2N,[]
526,Jackson Heights SDA Preschool,"7225 Woodside Ave, Woodside, NY, 11377-3940, USA",7225 Woodside Ave,Woodside,NY,11377-3940,USA,ECP,https://www.adventisteducation.org/schools/AN4837,[]
527,Jackson Heights SDA School,"7225 Woodside Ave, Woodside, NY, 11377-3940, USA",7225 Woodside Ave,Woodside,NY,11377-3940,USA,PK-08,https://www.adventisteducation.org/schools/AN4825,[]
528,Kingsbury SDA School,"3991 State Route 4, Hudson Falls, NY, 12839-3713, USA",3991 State Route 4,Hudson Falls,NY,12839-3713,USA,PK-08,https://www.adventisteducation.org/schools/AN4B40,[]
529,Linden SDA Early Childhood Academy,"13701 228th St, Laurelton, NY, 11413-2446, USA",13701 228th St,Laurelton,NY,11413-2446,USA,ECP,https://www.adventisteducation.org/schools/AN4F34,[]
530,Linden SDA School,"13701 228th St, Laurelton, NY, 11413-2446, USA",13701 228th St,Laurelton,NY,11413-2446,USA,PK-08,https://www.adventisteducation.org/schools/AN4F65,"Linden SDA School shares a commitment to teach students to think critically, to organize, and analyze information. The goal of our curriculum is for students to develop within them a life long love for learning."
531,Middletown Christian School of SDA,"70 Highland Ave, Middletown, NY, 10940-5531, USA",70 Highland Ave,Middletown,NY,10940-5531,USA,PK-08,https://www.adventisteducation.org/schools/AN4835,We provide a well rounded education to students ranging from Pre-school to 8th Grade.
532,Middletown Christian School Preschool,"70 Highland Ave, Middletown, NY, 10940-5531, USA",70 Highland Ave,Middletown,NY,10940-5531,USA,ECP,https://www.adventisteducation.org/schools/AN4836,[]
533,Northeastern Academy Brooklyn Campus,"418 E 45th St, Brooklyn, NY, 11203-4120, USA",418 E 45th St,Brooklyn,NY,11203-4120,USA,PK-12,https://www.adventisteducation.org/schools/AN4F40,At NAA we collaboratively build Christian character to and are determined to create citizens ready to excel in this world but to also be ready for eternity.
534,Northeastern Adventist EC Acad. Brooklyn,"5810 Snyder Ave, Brooklyn, NY, 11203-4816, USA",5810 Snyder Ave,Brooklyn,NY,11203-4816,USA,ECP,https://www.adventisteducation.org/schools/AN4F2M,[]
535,Northeastern Adventist EC Acad. West.,"456 Webster Ave, New Rochelle, NY, 10801-3226, USA",456 Webster Ave,New Rochelle,NY,10801-3226,USA,ECP,https://www.adventisteducation.org/schools/AN4F2J,[]
536,Northeastern Adventist EC Academy,"1122 Forest Ave, Bronx, NY, 10456-5476, USA",1122 Forest Ave,Bronx,NY,10456-5476,USA,ECP,https://www.adventisteducation.org/schools/AN4F2P,[]
537,Oakview Early Childhood Program,"29 Chestnut St, Yonkers, NY, 10701-3401, USA",29 Chestnut St,Yonkers,NY,10701-3401,USA,ECP,https://www.adventisteducation.org/schools/AN4839,[]
538,Oakview Preparatory School,"29 Chestnut St, Yonkers, NY, 10701-3401, USA",29 Chestnut St,Yonkers,NY,10701-3401,USA,PK-08,https://www.adventisteducation.org/schools/AN4840,"The Goal of the Oakview Preparatory School is to foster moral, Christ-like character, promote academic excellence and prepare its students for service to God and their"
539,Parkview Junior Academy,"412 S Avery Ave, Syracuse, NY, 13219-2617, USA",412 S Avery Ave,Syracuse,NY,13219-2617,USA,PK-10,https://www.adventisteducation.org/schools/AN4B45,Parkview Junior Academy has been providing Christian education for over 120 years that is balanced to meet individual needs and develop students who make positive contributions to society.
540,Poughkeepsie Community SDA School,"110 S Grand Ave, Poughkeepsie, NY, 12603-3009, USA",110 S Grand Ave,Poughkeepsie,NY,12603-3009,USA,PK-08,https://www.adventisteducation.org/schools/AN4855,[]
541,Poughkeepsie SDA Early Childhood Program,"14 S Bridge St, Poughkeepsie, NY, 12601-3003, USA",14 S Bridge St,Poughkeepsie,NY,12601-3003,USA,ECP,https://www.adventisteducation.org/schools/AN4838,[]
542,Rochester Bay Knoll SDA School,"2639 E Ridge Rd, Rochester, NY, 14622-3021, USA",2639 E Ridge Rd,Rochester,NY,14622-3021,USA,PK-08,https://www.adventisteducation.org/schools/AN4B55,"We believe the best education results when Christ is at the center of all we do. The Bible is our foundation and students learn through a whole child approach––nurturing their growth spiritually, academically, physically and socially."
543,South Bay Junior Academy of SDA,"150 Fire Island Ave, Babylon, NY, 11702-3902, USA",150 Fire Island Ave,Babylon,NY,11702-3902,USA,PK-08,https://www.adventisteducation.org/schools/AN48SO,[]
544,Union Springs Academy,"963 Spring Street Rd, Union Springs, NY, 13160-3122, USA",963 Spring Street Rd,Union Springs,NY,13160-3122,USA,PK-08,https://www.adventisteducation.org/schools/AN4B25,[]
545,Union Springs Academy,"40 Spring St, Union Springs, NY, 13160-3102, USA",40 Spring St,Union Springs,NY,13160-3102,USA,9-12,https://www.adventisteducation.org/schools/AN4B3L,"Union Springs Academy is a co-educational, Christ-centered boarding high school where students can SOAR in the Spiritual, Occupational, Academic, and Recreational realms."
546,URECA Day Care,"24711 Francis Lewis Blvd, Rosedale, NY, 11422-2234, USA",24711 Francis Lewis Blvd,Rosedale,NY,11422-2234,USA,ECP,https://www.adventisteducation.org/schools/AN4F38,[]
547,Westchester SDA Area School,"456 Webster Ave, New Rochelle, NY, 10801-3226, USA",456 Webster Ave,New Rochelle,NY,10801-3226,USA,PK-08,https://www.adventisteducation.org/schools/AN4F80,"The NAA Westchester family exists to show children Jesus, nurture their love for Him and others, teach them to think, and empower them to serve."
548,Whispering Pines Early Childhood Program,"211 Jericho Tpke, Old Westbury, NY, 11568-1612, USA",211 Jericho Tpke,Old Westbury,NY,11568-1612,USA,ECP,https://www.adventisteducation.org/schools/AN483A,[]
549,Whispering Pines SDA School,"211 Jericho Tpke, Old Westbury, NY, 11568-1612, USA",211 Jericho Tpke,Old Westbury,NY,11568-1612,USA,PK-08,https://www.adventisteducation.org/schools/AN4860,"The Whispering Pines Seventh-day Adventist school has a family environment that focus on academic excellence and where parents and teachers are ""laborers together with God."""
550,ACA Charlotte,"4601 Emory Ln, Charlotte, NC, 28211-3061, USA",4601 Emory Ln,Charlotte,NC,28211-3061,USA,PK-08,https://www.adventisteducation.org/schools/ANT813,[]
551,ACA Raleigh,"4805 Dillard Dr, Raleigh, NC, 27606-4110, USA",4805 Dillard Dr,Raleigh,NC,27606-4110,USA,PK-10,https://www.adventisteducation.org/schools/ANT875,"ACA Raleigh, a Seventh-day Adventist Christian school, is dedicated to providing a spiritually oriented education for children. Excellence is our goal in all areas."
552,Asheville-Pisgah Christian School,"90 Academy Dr, Candler, NC, 28715-9408, USA",90 Academy Dr,Candler,NC,28715-9408,USA,PK-08,https://www.adventisteducation.org/schools/ANT821,[]
553,Berean Jr. Academy Preschool,"3748 Beatties Ford Rd, Charlotte, NC, 28216-3214, USA",3748 Beatties Ford Rd,Charlotte,NC,28216-3214,USA,ECP,https://www.adventisteducation.org/schools/ANTM29,[]
554,Berean Junior Academy,"3748 Beatties Ford Rd, Charlotte, NC, 28216-3214, USA",3748 Beatties Ford Rd,Charlotte,NC,28216-3214,USA,PK-08,https://www.adventisteducation.org/schools/ANTM28,[]
555,Blue Ridge Adventist Christian School,"119 Hampshire Dr, Waynesville, NC, 28786-6921, USA",119 Hampshire Dr,Waynesville,NC,28786-6921,USA,PK-08,https://www.adventisteducation.org/schools/ANT8WA,[]
556,Brookhaven SDA School,"4658 Reedy Branch Rd, Winterville, NC, 28590-8924, USA",4658 Reedy Branch Rd,Winterville,NC,28590-8924,USA,PK-08,https://www.adventisteducation.org/schools/ANT8BR,"Brookhaven Christian School exists to show children Jesus, nurture their love for Him and others.To teach them to think, and empower them to serve others."
557,Carolina Adventist Academy,"3710 James B White Hwy S, Whiteville, NC, 28472-8686, USA",3710 James B White Hwy S,Whiteville,NC,28472-8686,USA,PK-10,https://www.adventisteducation.org/schools/ANTMPH,[]
558,Cornerstone Adventist Academy,"11431 University City Blvd, Charlotte, NC, 28213-9254, USA",11431 University City Blvd,Charlotte,NC,28213-9254,USA,PK-08,https://www.adventisteducation.org/schools/ANT8SU,[]
559,Ephesus Junior Academy,"1225 N Cleveland Ave, Winston Salem, NC, 27101-1612, USA",1225 N Cleveland Ave,Winston Salem,NC,27101-1612,USA,PK-08,https://www.adventisteducation.org/schools/ANTM48,[]
560,Ephesus Learning Center,"1225 N Cleveland Ave, Winston Salem, NC, 27101-1612, USA",1225 N Cleveland Ave,Winston Salem,NC,27101-1612,USA,ECP,https://www.adventisteducation.org/schools/ANTM2A,[]
561,Five Oaks Adventist Christian,"4124 Farrington Rd, Durham, NC, 27707-5241, USA",4124 Farrington Rd,Durham,NC,27707-5241,USA,PK-08,https://www.adventisteducation.org/schools/ANT848,[]
562,Gethsemane Christian SDA Junior Academy,"2523 Sanderford Rd, Raleigh, NC, 27610-5829, USA",2523 Sanderford Rd,Raleigh,NC,27610-5829,USA,PK-08,https://www.adventisteducation.org/schools/ANTM56,Gethsemane Christian SDA Junior Academy is a private school that focuses on STEM and the performing arts. We exist to help students grow in their love for Jesus.
563,Greater Fayetteville Adventist Academy,"2601 Lone Pine Dr, Fayetteville, NC, 28306-2255, USA",2601 Lone Pine Dr,Fayetteville,NC,28306-2255,USA,PK-10,https://www.adventisteducation.org/schools/ANTMAB,[]
564,Learning Lamb Early Development Center,"4601 Emory Ln, Charlotte, NC, 28211-3061, USA",4601 Emory Ln,Charlotte,NC,28211-3061,USA,ECP,https://www.adventisteducation.org/schools/ANT82U,[]
565,Mills River SDA School,"2142 Jeffress Rd, Mills River, NC, 28759-4620, USA",2142 Jeffress Rd,Mills River,NC,28759-4620,USA,PK-08,https://www.adventisteducation.org/schools/ANT8M2,[]
566,Mount Pisgah Academy,"75 Academy Dr, Candler, NC, 28715-9408, USA",75 Academy Dr,Candler,NC,28715-9408,USA,9-12,https://www.adventisteducation.org/schools/ANT82Q,[]
567,Murphy Adventist Christian ECP,"1584 Old Ranger Rd, Murphy, NC, 28906-3354, USA",1584 Old Ranger Rd,Murphy,NC,28906-3354,USA,ECP,https://www.adventisteducation.org/schools/ANTF2S,[]
568,Murphy Adventist Christian School,"1584 Old Ranger Rd, Murphy, NC, 28906-3354, USA",1584 Old Ranger Rd,Murphy,NC,28906-3354,USA,PK-08,https://www.adventisteducation.org/schools/ANTFD7,[]
569,Salisbury Adventist School,"305 Rudolph Rd, Salisbury, NC, 28146-6824, USA",305 Rudolph Rd,Salisbury,NC,28146-6824,USA,PK-08,https://www.adventisteducation.org/schools/ANT887,[]
570,Silver Creek Adventist School,"2195 Jamestown Rd, Morganton, NC, 28655-9101, USA",2195 Jamestown Rd,Morganton,NC,28655-9101,USA,PK-08,https://www.adventisteducation.org/schools/ANT893,[]
571,Tri-City Christian Academy,"8000 Clinard Farms Rd, High Point, NC, 27265-9181, USA",8000 Clinard Farms Rd,High Point,NC,27265-9181,USA,PK-10,https://www.adventisteducation.org/schools/ANT896,"Tri-City Christian Academy (TCA) is a private Pre-K to grade 12 Christian school located in High Point, North Carolina serving the children of the Triad area for over sixty years."
572,Tryon SDA School,"2820 Lynn Rd, Tryon, NC, 28782-6681, USA",2820 Lynn Rd,Tryon,NC,28782-6681,USA,PK-08,https://www.adventisteducation.org/schools/ANT839,[]
573,Upward Adventist School,"957 Upward Rd, Flat Rock, NC, 28731-8799, USA",957 Upward Rd,Flat Rock,NC,28731-8799,USA,PK-08,https://www.adventisteducation.org/schools/ANT899,[]
574,Wilmington SDA School,"2833 Market St, Wilmington, NC, 28403-1219, USA",2833 Market St,Wilmington,NC,28403-1219,USA,PK-08,https://www.adventisteducation.org/schools/ANT8A3,[]
